a,DT
abridges,NNS
abridging,VBG
abridgment,NN
abridgments,NNS
abroad,RB
abrogate,JJ
abrogated,VBN
abrogates,NNS
abrogating,VBG
abrogation,NN
abrogations,NNS
abrogative,VBP
abrogator,NN
abrogators,NNS
abrupt,VBD
abrupter,NN
abruptest,NN
abruptly,RB
abruptness,NN
abs,NNS
abscam,VBP
abscess,NN
abscessed,VBN
abscesses,NNS
abscessing,VBG
abscise,NN
abscised,VBD
abscises,NNS
abscising,VBG
abscissa,NN
abscissae,NN
abscissas,NNS
abscission,NN
abscissions,NNS
abscond,VBP
absconded,VBN
absconder,NN
absconders,NNS
absconding,VBG
absconds,NNS
absence,NN
absences,NNS
absent,NN
absented,VBD
absentee,NN
absenteeism,NN
absentees,NNS
absenter,NN
absenters,NNS
absentia,VBP
absenting,VBG
absently,RB
absentminded,VBN
absentmindedly,RB
absentmindedness,JJ
absents,NNS
absinth,JJ
absinthe,NN
absinthes,NNS
absinths,NNS
absolute,VBP
absolutely,RB
absoluteness,JJ
absoluter,NN
absolutes,NNS
absolutest,VBP
absolution,NN
absolutions,NNS
absolutism,NN
absolutist,NN
absolutistic,JJ
absolutists,NNS
absolvable,JJ
absolve,NN
absolved,VBD
absolver,NN
absolvers,NNS
absolves,VBZ
absolving,VBG
absorb,NN
absorbability,NN
absorbable,JJ
absorbed,VBN
absorbencies,NNS
absorbency,NN
absorbent,NN
absorbents,NNS
absorber,NN
absorbers,NNS
absorbing,VBG
absorbingly,RB
absorbs,VBZ
absorption,NN
absorptions,NNS
absorptive,VBP
abstain,NN
abstained,VBN
abstainer,NN
abstainers,NNS
abstaining,VBG
abstains,NNS
abstemious,JJ
abstemiously,RB
abstemiousness,JJ
abstention,NN
abstentionism,NN
abstentionist,NN
abstentions,NNS
abstentious,JJ
abstinence,NN
abstinent,NN
abstinently,RB
abstract,NN
abstracted,VBD
abstractedly,RB
abstractedness,NN
abstracter,NN
abstracters,NNS
abstracting,VBG
abstraction,NN
abstractionism,NN
abstractionist,NN
abstractionists,NNS
abstractions,NNS
abstractly,RB
abstractness,JJ
abstractor,NN
abstractors,NNS
abstracts,NNS
abstricts,NNS
abstruse,VBP
abstrusely,RB
abstruseness,JJ
abstruser,NN
abstrusest,NN
absurd,NN
absurder,NN
absurdest,NN
absurdities,NNS
absurdity,NN
absurdly,RB
absurdness,NN
absurds,NNS
absurdum,NN
abt,NN
abubble,JJ
abundance,NN
abundances,NNS
abundant,VBP
abundantly,RB
abusable,JJ
abusage,NN
abuse,NN
abused,VBD
abuser,NN
abusers,NNS
abuses,NNS
abusing,VBG
abusive,JJ
abusively,RB
abusiveness,JJ
abut,NN
abutment,NN
abutments,NNS
abuts,NNS
abuttal,VBP
abuttals,NNS
abutted,VBN
abutter,NN
abutters,NNS
abutting,VBG
abuzz,NN
abyes,NNS
abysm,NN
abysmal,JJ
abysmally,RB
abysms,VBZ
abyss,NNS
abyssal,NN
abysses,NNS
abyssinia,VBP
abyssinian,JJ
abyssinians,NNS
ac,VBP
acacia,NN
acacias,NNS
academe,VBP
academes,NNS
academia,iNN
academias,NNS
academic,JJ
academical,JJ
academically,RB
academician,JJ
academicians,NNS
academicianship,NN
academicism,NN
academics,NNS
academies,NNS
academy,VBP
acadia,NNS
acanthi,VBP
acanthus,RB
acanthuses,NNS
acapulco,VBP
accede,NN
acceded,VBD
accedence,NN
acceder,NN
acceders,NNS
accedes,VBZ
acceding,VBG
accelerable,JJ
accelerando,NN
accelerant,NN
accelerate,NN
accelerated,VBD
accelerates,NNS
accelerating,VBG
acceleration,NN
accelerations,NNS
accelerative,VBP
accelerator,NN
accelerators,NNS
accelerometer,NN
accelerometers,NNS
accent,NN
accented,VBD
accenting,VBG
accents,NNS
accentual,JJ
accentuate,NN
accentuated,VBD
accentuates,NNS
accentuating,VBG
accentuation,NN
accentuator,NN
accept,NN
acceptability,NN
acceptable,JJ
acceptableness,NN
acceptably,RB
acceptance,NN
acceptances,NNS
acceptant,VBP
acceptation,NN
accepted,VBN
acceptedly,RB
acceptee,NN
acceptees,NNS
accepter,NN
accepters,NNS
accepting,VBG
acceptive,JJ
acceptor,NN
accepts,NNS
access,NN
accessability,NN
accessed,VBD
accesses,NNS
accessibility,NN
accessible,JJ
accessibleness,NN
accessibly,RB
accessing,VBG
accession,NN
accessions,NNS
accessories,NNS
accessorily,RB
accessoriness,JJ
accessors,NNS
accessory,NN
accidence,NN
accident,NN
accidental,NN
accidentally,RB
accidentalness,NN
accidentals,NNS
accidents,NNS
accidie,VBP
accidies,NNS
acclaim,VBP
acclaimed,VBN
acclaimer,NN
acclaimers,NNS
acclaiming,VBG
acclaims,NNS
acclamation,NN
acclamations,NNS
acclimate,VBP
acclimated,VBN
acclimates,NNS
acclimating,VBG
acclimation,NN
acclimatization,NN
acclimatize,NN
acclimatized,VBD
acclimatizer,NN
acclimatizes,NNS
acclimatizing,VBG
acclivities,NNS
acclivitous,JJ
acclivity,NN
accolade,NN
accolades,VBZ
accommodate,JJ
accommodated,VBN
accommodates,NNS
accommodating,VBG
accommodatingly,RB
accommodation,NN
accommodational,JJ
accommodations,NNS
accommodative,JJ
accommodatively,RB
accommodativeness,JJ
accommodator,NN
accommodators,NNS
accompanied,VBD
accompanies,NNS
accompaniment,NN
accompaniments,NNS
accompanist,VBP
accompanists,NNS
accompany,NN
accompanying,VBG
accompanyist,NN
accompli,NN
accomplice,NN
accomplices,NNS
accomplis,VBZ
accomplish,JJ
accomplishable,JJ
accomplished,JJ
accomplisher,NN
accomplishers,NNS
accomplishes,VBZ
accomplishing,VBG
accomplishment,NN
accomplishments,NNS
accord,NN
accordable,JJ
accordance,NN
accordant,NN
accordantly,RB
accorded,VBD
accorder,NN
accorders,NNS
according,VBG
accordingly,RB
accordion,NN
accordionist,NN
accordionists,NNS
accordions,NNS
accords,NNS
accost,VBP
accostable,JJ
accosted,VBN
accosting,VBG
accosts,NNS
account,NN
accountability,NN
accountable,JJ
accountableness,NN
accountably,RB
accountancy,NN
accountant,NN
accountants,NNS
accountantship,NN
accounted,VBD
accounter,NN
accounters,NNS
accounting,VBG
accounts,NNS
accouter,JJR
accoutered,VBN
accoutering,VBG
accouterment,NN
accouterments,NNS
accouters,NNS
accoutred,VBD
accoutrement,NN
accoutres,NNS
accoutring,VBG
accredit,NN
accreditation,NN
accredited,VBD
accreditee,NN
accrediting,NN
accreditment,NN
accredits,NNS
accrete,VBP
accreted,VBN
accretes,NNS
accreting,VBG
accretion,NN
accretionary,NN
accretions,NNS
accruable,JJ
accrual,JJ
accruals,NNS
accrue,VBP
accrued,VBN
accruement,NN
accrues,NNS
accruing,VBG
acct,NN
accts,NNS
acculturate,VBP
acculturation,NN
acculturational,JJ
acculturative,JJ
accumulable,JJ
accumulate,NN
accumulated,VBD
accumulates,NNS
accumulating,VBG
accumulation,NN
accumulations,NNS
accumulative,VBP
accumulatively,RB
accumulativeness,JJ
accumulator,NN
accumulators,NNS
accuracies,NNS
accuracy,NN
accurate,NN
accurately,RB
accurateness,NN
accurse,NN
accursed,VBD
accursedly,RB
accursedness,NN
accurst,RB
accusable,JJ
accusal,NN
accusals,NNS
accusant,VBP
accusation,NN
accusations,NNS
accusative,VBP
accusatively,RB
accusativeness,JJ
accusatives,NNS
accusatorial,JJ
accusatorially,RB
accusatory,JJ
accusatrix,NN
accusatrixes,NNS
accuse,VBP
accused,VBN
accuser,NN
accusers,NNS
accuses,NNS
accusing,VBG
accusingly,RB
accusive,JJ
accusor,NN
accustom,NN
accustomed,VBD
accustoming,VBG
accustoms,NNS
ace,NN
aced,VBD
acerb,NN
acerbate,NN
acerbated,VBD
acerbates,NNS
acerbating,VBG
acerber,NN
acerbest,NN
acerbic,NN
acerbities,NNS
acerbity,NN
acerola,NN
acerose,NN
acerous,JJ
aces,NNS
acetaldehyde,VBP
acetaminophen,VBN
acetanilide,NN
acetate,NN
acetates,VBZ
acetic,JJ
acetified,VBN
acetifies,NNS
acetify,VBP
acetifying,VBG
acetone,NN
acetones,NNS
acetonic,JJ
acetylcholine,NN
acetylene,NN
acetylsalicylic,JJ
ache,NN
ached,VBD
achene,NN
achenes,NNS
achenial,JJ
aches,NNS
achier,RBR
achiest,JJS
achievable,JJ
achieve,NN
achieved,VBD
achievement,NN
achievements,NNS
achiever,RB
achievers,NNS
achieves,NNS
achieving,VBG
achilles,NNS
achiness,NN
aching,VBG
achingly,RB
achoo,RB
achordate,JJ
achromat,NN
achromatic,JJ
achromatically,RB
achromatism,NN
achromats,NNS
achy,VBP
acid,JJ
acidhead,NN
acidheads,NNS
acidic,JJ
acidifiable,JJ
acidification,NN
acidified,VBD
acidifier,JJR
acidifiers,NNS
acidifies,NNS
acidify,VBP
acidifying,VBG
acidities,NNS
acidity,NN
acidly,RB
acidness,NN
acidophilus,VBZ
acidoses,NNS
acidosis,NN
acidotic,JJ
acids,NNS
acidulate,VBP
acidulated,VBN
acidulates,NNS
acidulating,VBG
acidulation,NN
acidulous,JJ
acidulously,RB
acidulousness,JJ
acidy,NN
acing,VBG
acknowledge,NN
acknowledgeable,JJ
acknowledged,JJ
acknowledgedly,RB
acknowledgement,JJ
acknowledgements,NNS
acknowledger,JJR
acknowledgers,NNS
acknowledges,NNS
acknowledging,VBG
acknowledgment,NN
acknowledgments,NNS
aclu,VBP
acme,NN
acmes,NNS
acne,NN
acned,VBD
acnes,NNS
acoin,iNN
acolyte,JJ
acolytes,NNS
aconite,VBP
aconites,NNS
acorn,NN
acorns,NNS
acoustic,JJ
acoustical,JJ
acoustically,RB
acoustics,NNS
acquaint,VBP
acquaintance,NN
acquaintances,NNS
acquaintanceship,NN
acquaintanceships,NNS
acquainted,VBD
acquainting,VBG
acquaints,NNS
acquiesce,NN
acquiesced,VBD
acquiescence,NN
acquiescent,NN
acquiescently,RB
acquiesces,VBZ
acquiescing,VBG
acquiesence,NN
acquirable,JJ
acquire,NN
acquired,VBN
acquirement,NN
acquirements,NNS
acquirer,NN
acquirers,NNS
acquires,VBZ
acquiring,VBG
acquisition,NN
acquisitions,NNS
acquisitive,JJ
acquisitively,RB
acquisitiveness,JJ
acquit,NN
acquits,NNS
acquittal,JJ
acquittals,NNS
acquitted,VBN
acquitter,NN
acquitting,NN
acre,NN
acreage,NN
acreages,NNS
acred,VBD
acres,NNS
acrid,VBD
acrider,NN
acridest,NN
acridities,NNS
acridity,NN
acridly,RB
acridness,NN
acrimonies,NNS
acrimonious,JJ
acrimoniously,RB
acrimoniousness,JJ
acrimony,NN
acrobat,NN
acrobatic,JJ
acrobatically,RB
acrobatics,NNS
acrobats,NNS
acroliths,NNS
acromegalic,JJ
acromegalies,NNS
acromegaly,RB
acronym,VBP
acronyms,NNS
acrophobia,iNN
acropolis,NNS
acropolises,NNS
across,iNN
acrostic,JJ
acrostically,RB
acrostics,NNS
acrylate,VBP
acrylic,JJ
acrylics,NNS
act,NN
actable,JJ
acted,VBN
actin,NN
acting,NN
actings,NNS
actinic,JJ
actinically,RB
actinide,JJ
actinides,NNS
actinism,NN
actinium,NN
actiniums,NNS
action,NN
actionability,NN
actionable,JJ
actions,NNS
activate,VBP
activated,VBN
activates,NNS
activating,VBG
activation,NN
activations,NNS
activator,NN
activators,NNS
active,JJ
actively,RB
activeness,JJ
actives,NNS
activism,NN
activisms,NNS
activist,VBP
activistic,JJ
activists,NNS
activities,NNS
activity,NN
actomyosin,NN
actor,NN
actorish,NN
actors,NNS
actress,NN
actresses,NNS
acts,VBZ
actual,JJ
actualities,NNS
actuality,NN
actualization,NN
actualize,NN
actualized,VBD
actualizes,NNS
actualizing,VBG
actually,RB
actuarial,JJ
actuaries,NNS
actuary,JJ
actuate,NN
actuated,VBD
actuates,NNS
actuating,VBG
actuation,NN
actuator,NN
actuators,NNS
acuities,NNS
acuity,NN
acumen,NNS
acumens,VBZ
acupuncture,NN
acupuncturist,NN
acupuncturists,NNS
acute,VBP
acutely,RB
acuteness,JJ
acuter,NN
acutes,NNS
acutest,VBP
ad,NN
adage,NN
adages,NNS
adagial,JJ
adagio,NN
adagios,NNS
adam,VBP
adamance,NN
adamances,NNS
adamancies,NNS
adamancy,NN
adamant,NN
adamantine,NN
adamantly,RB
adamants,VBZ
adams,NNS
adapt,VBP
adaptability,NN
adaptable,JJ
adaptableness,NN
adaptation,NN
adaptations,NNS
adapted,VBD
adapter,NN
adapters,NNS
adapting,VBG
adaption,NN
adaptions,NNS
adaptive,VBP
adaptively,RB
adaptiveness,JJ
adaptometer,NN
adaptor,NN
adaptors,NNS
adapts,NNS
add,VBP
addable,JJ
addax,NN
added,VBD
addedly,RB
addend,NN
addenda,NN
addends,NNS
addendum,NN
adder,NN
adders,NNS
addible,JJ
addict,NN
addicted,VBD
addicting,VBG
addiction,NN
addictions,NNS
addictive,VBP
addictively,RB
addictiveness,JJ
addictives,NNS
addicts,NNS
adding,VBG
addison,NN
addition,NN
additional,JJ
additionally,RB
additions,NNS
additive,VBP
additives,NNS
addle,VBP
addled,VBN
addles,NNS
addling,VBG
address,NN
addressability,NN
addressable,JJ
addressed,VBN
addressee,NN
addressees,NNS
addresser,NN
addressers,NNS
addresses,NNS
addressing,VBG
addrest,NN
adds,VBZ
adduce,NN
adduceable,JJ
adduced,VBN
adducers,NNS
adduces,NNS
adducing,VBG
adduct,NN
adducted,VBD
adducting,VBG
adduction,NN
adductor,NN
adductors,NNS
adenine,VBP
adenoid,JJ
adenoidal,NN
adenoidectomy,NN
adenoidism,NN
adenoiditis,VBZ
adenoids,NNS
adenose,VBP
adenosine,NN
adept,iNN
adepter,NN
adeptest,NN
adeptly,RB
adeptness,NN
adepts,NNS
adequacies,NNS
adequacy,NN
adequate,NN
adequately,RB
adequateness,NN
adequation,NN
adeste,NN
adhere,RB
adhered,VBN
adherence,NN
adherent,NN
adherents,NNS
adherer,NN
adherers,NNS
adheres,NNS
adhering,VBG
adhesion,NN
adhesional,JJ
adhesions,NNS
adhesive,JJ
adhesively,RB
adhesiveness,JJ
adhesives,NNS
adiabatic,JJ
adiabatically,RB
adiathermancy,NN
adieu,NN
adieus,VBZ
adieux,NN
adios,NNS
adipose,VBP
adiposeness,NN
adiposis,NN
adiposities,NNS
adiposity,NN
adit,NN
adits,NNS
adj,VBP
adjacency,NN
adjacent,NN
adjacently,RB
JJival,JJ
JJivally,RB
JJive,JJ
JJives,NNS
adjoin,VBP
adjoined,VBN
adjoining,VBG
adjoins,NNS
adjoint,VBP
adjoints,NNS
adjourn,VBP
adjourned,VBN
adjourning,VBG
adjournment,NN
adjournments,NNS
adjourns,VBZ
adjudge,NN
adjudged,VBD
adjudges,NNS
adjudging,VBG
adjudicate,NN
adjudicated,VBD
adjudicates,NNS
adjudicating,VBG
adjudication,NN
adjudications,NNS
adjudicative,VBP
adjudicator,NN
adjudicators,NNS
adjudicatory,NN
adjudicature,NN
adjunct,NN
adjunctive,NN
adjunctly,RB
adjuncts,VBZ
adjuration,NN
adjurations,NNS
adjuratory,NN
adjure,NN
adjured,VBD
adjurer,NN
adjurers,NNS
adjures,NNS
adjuring,VBG
adjuror,NN
adjurors,NNS
adjust,VBP
adjustable,JJ
adjusted,VBN
adjuster,NN
adjusters,NNS
adjusting,VBG
adjustment,NN
adjustments,NNS
adjustor,NN
adjustors,NNS
adjusts,NNS
adjutancy,NN
adjutant,NN
adjutants,NNS
adman,NN
admen,NNS
admin,VBP
administer,NN
administered,VBN
administerial,JJ
administering,NN
administerings,NNS
administers,NNS
administrable,JJ
administrant,NN
administrants,NNS
administrate,VBP
administrated,VBN
administrates,NNS
administrating,VBG
administration,NN
administrational,JJ
administrations,NNS
administrative,JJ
administratively,RB
administrator,NN
administrators,NNS
administratrices,NNS
administratrix,VBP
adminstration,NN
admirable,JJ
admirably,RB
admiral,JJ
admirals,NNS
admiralship,NN
admiralships,NNS
admiralties,NNS
admiralty,NN
admiration,NN
admirations,NNS
admire,VBP
admired,VBN
admirer,NN
admirers,NNS
admires,NNS
admiring,VBG
admiringly,RB
admissability,NN
admissable,JJ
admissibility,NN
admissible,JJ
admissibly,RB
admission,NN
admissions,NNS
admissive,VBP
admit,NN
admits,NNS
admittance,NN
admittances,NNS
admitted,VBD
admittedly,RB
admitter,JJR
admitters,NNS
admitting,VBG
admix,NN
admixed,VBD
admixes,NNS
admixing,VBG
admixt,NN
admixture,NN
admixtures,NNS
admonish,VBP
admonished,VBN
admonisher,NN
admonishes,NNS
admonishing,VBG
admonishment,NN
admonishments,NNS
admonition,NN
admonitions,NNS
admonitory,NN
ado,NN
adobe,NN
adobes,NNS
adolescence,NN
adolescent,NN
adolescently,RB
adolescents,VBZ
adolf,NN
adolph,NN
adonis,VBZ
adopt,NN
adoptabilities,NNS
adoptability,NN
adoptable,JJ
adopted,VBN
adoptee,NN
adoptees,NNS
adopter,NN
adopters,NNS
adopting,VBG
adoption,NN
adoptions,NNS
adoptive,VBP
adoptively,RB
adopts,NNS
adorability,NN
adorable,JJ
adorableness,NN
adorably,RB
adoration,NN
adore,iNN
adored,VBN
adorer,NN
adorers,NNS
adores,NNS
adoring,VBG
adorn,NN
adorned,VBD
adorner,NN
adorners,NNS
adorning,VBG
adornment,NN
adornments,NNS
adorns,VBZ
ados,NNS
adoze,VBP
adrenal,JJ
adrenalin,NN
adrenaline,NN
adrenals,NNS
adrenocortical,JJ
adriatic,JJ
adrift,NN
adroit,NN
adroiter,NN
adroitest,NN
adroitly,RB
adroitness,NN
ads,NNS
adsorb,VBP
adsorbable,JJ
adsorbate,NN
adsorbates,NNS
adsorbed,VBD
adsorbent,NN
adsorbents,NNS
adsorbing,VBG
adsorbs,NNS
adsorption,NN
adsorptive,JJ
adsorptively,RB
adsorptiveness,JJ
adulate,NN
adulated,VBD
adulates,NNS
adulating,VBG
adulation,NN
adulator,NN
adulators,NNS
adulatory,NN
adult,NN
adulterant,NN
adulterants,NNS
adulterate,VBP
adulterated,VBN
adulterates,NNS
adulterating,VBG
adulteration,NN
adulterator,NN
adulterators,NNS
adulterer,NN
adulterers,NNS
adulteress,NN
adulteresses,NNS
adulteries,NNS
adulterous,JJ
adulterously,RB
adulterousness,JJ
adultery,NN
adulthood,NN
adultly,RB
adultness,NN
adults,NNS
adumbrate,VBP
adumbrated,VBN
adumbrates,NNS
adumbrating,VBG
adumbration,NN
adumbrations,NNS
adumbrative,VBP
adumbratively,RB
adv,NN
advance,NN
advanced,VBD
advancement,NN
advancements,NNS
advancer,NN
advancers,NNS
advances,NNS
advancing,VBG
advantage,NN
advantaged,VBD
advantageous,JJ
advantageously,RB
advantageousness,JJ
advantages,NNS
advantaging,VBG
advent,NN
adventitious,JJ
adventitiously,RB
adventitiousness,JJ
advents,NNS
adventure,VBP
adventured,VBN
adventurer,NN
adventurers,NNS
adventures,NNS
adventuresome,VBP
adventuress,NN
adventuresses,NNS
adventuring,VBG
adventurous,JJ
adventurously,RB
adventurousness,JJ
RB,NN
RBial,JJ
RBially,RB
RBs,VBZ
adversaries,NNS
adversary,JJ
adversative,JJ
adversatively,RB
adverse,JJ
adversely,RB
adverseness,JJ
adversities,NNS
adversity,NN
advert,NN
adverted,VBD
advertent,NN
advertently,RB
adverting,VBG
advertise,NN
advertised,VBN
advertisement,NN
advertisements,NNS
advertiser,NN
advertisers,NNS
advertises,NNS
advertising,VBG
advertize,NN
advertized,VBD
advertizement,NN
advertizer,NN
advertizes,VBZ
advertizing,VBG
adverts,NNS
advice,NN
advices,NNS
advisability,NN
advisable,JJ
advisatory,NN
advise,NN
advised,VBD
advisedly,RB
advisedness,NN
advisee,NN
advisees,NNS
advisement,NN
adviser,NN
advisers,NNS
advises,NNS
advising,VBG
advisor,NN
advisories,NNS
advisors,NNS
advisory,VBP
advocacies,NNS
advocacy,NN
advocate,VBP
advocated,VBN
advocates,NNS
advocating,VBG
advocator,NN
advocatory,NN
advt,NN
adyta,NN
adytum,NN
adz,NN
adzes,VBZ
aegis,NNS
aegises,NNS
aelurophobia,VBP
aeolian,JJ
aeon,NN
aeonian,NN
aeonic,NN
aeons,NNS
aerate,VBP
aerated,VBN
aerates,NNS
aerating,VBG
aeration,NN
aerations,NNS
aerator,NN
aerators,NNS
aerial,JJ
aerialist,NN
aerialists,NNS
aerially,RB
aerials,NNS
aerie,VBP
aeried,VBN
aerier,JJR
aeries,NNS
aeriest,VBP
aerified,VBN
aerifies,NNS
aeriform,NN
aerify,NN
aerifying,VBG
aerily,RB
aerobatics,NNS
aerobe,VBP
aerobes,NNS
aerobia,iNN
aerobic,JJ
aerobically,RB
aerobics,NNS
aerobiology,NN
aerodrome,NN
aerodromes,VBZ
aerodynamic,JJ
aerodynamical,JJ
aerodynamically,RB
aerodynamics,NNS
aerodyne,VBP
aerofoil,NN
aerofoils,NNS
aerogels,NNS
aerogram,VBP
aerograms,NNS
aerolite,iNN
aerolites,NNS
aerolith,iNN
aeroliths,NNS
aerological,JJ
aerologist,NN
aerologists,NNS
aerology,NN
aerometer,NN
aeronaut,NN
aeronautic,JJ
aeronautical,JJ
aeronautically,RB
aeronautics,NNS
aeronauts,NNS
aerophobia,VBP
aeroplane,NN
aerosol,NN
aerosolization,NN
aerosolize,NN
aerosolized,VBD
aerosolizing,VBG
aerosols,NNS
aerospace,NN
aerostat,iNN
aery,NN
aeschylus,NN
aesop,NN
aesopian,NN
aesthesia,NN
aesthete,NN
aesthetes,VBZ
aesthetic,JJ
aesthetically,RB
aesthetics,NNS
aestivate,VBP
aestivated,VBN
aestivates,NNS
aestivating,VBG
aether,NN
aetheric,JJ
aethers,NNS
afar,RB
afars,NNS
afb,VBP
afeard,NN
afeared,VBN
affability,NN
affable,JJ
affably,RB
affair,JJ
affaire,NN
affaires,NNS
affairs,NNS
affect,VBP
affectation,NN
affectations,NNS
affected,VBD
affectedly,RB
affectedness,NN
affecter,NN
affecters,NNS
affecting,VBG
affectingly,RB
affection,NN
affectionate,NN
affectionately,RB
affectionless,NN
affections,NNS
affective,VBP
affectively,RB
affectivity,NN
affects,NNS
afferent,NN
afferently,RB
affiance,NN
affianced,VBD
affiances,NNS
affiancing,VBG
affiant,NN
affidavit,NN
affidavits,NNS
affiliate,VBP
affiliated,VBN
affiliates,NNS
affiliating,VBG
affiliation,NN
affiliations,NNS
affinities,NNS
affinity,NN
affirm,NN
affirmable,JJ
affirmably,RB
affirmance,NN
affirmation,NN
affirmations,NNS
affirmative,VBP
affirmatively,RB
affirmativeness,JJ
affirmatives,NNS
affirmed,VBN
affirmer,NN
affirmers,NNS
affirming,VBG
affirms,NNS
affix,CD
affixal,JJ
affixation,NN
affixed,VBN
affixer,NN
affixers,NNS
affixes,NNS
affixing,VBG
affixion,NN
afflatus,NN
afflict,NN
afflicted,VBD
afflicting,VBG
affliction,NN
afflictions,NNS
afflictive,VBP
afflictively,RB
afflicts,NNS
affluence,VBP
affluent,NN
affluently,RB
affluents,VBZ
afflux,NN
affluxes,NNS
afford,NN
affordable,JJ
afforded,VBN
affording,VBG
affords,NNS
afforest,JJS
afforestation,NN
afforested,VBD
afforesting,VBG
